Code Postal,Prix (€),Surface (m2),Prix du m2,Nbr de Pieces
92700,275000,51.26,5365,3
92390,170000,43.0,3953,2
92260,285990,67.0,4104,3
92340,239 000 à 277 000 €,24 à 31 m²,4104,1
92290,269000,33.15,8115,1
92260,289000,66.68,4079,4
92300,295000,34.0,8344,2
92360,161000,46.0,3500,2
92400,275000,37.0,7432,2
92130,177000,20.0,8500,1
92360,260000,78.0,3333,4
92700,142000,22.0,6136,1
92390,250000,60.0,4167,3
92700,175000,26.0,6731,1
92410,215000,27.0,7963,1
92600,220000,26.25,8381,2
92260,268000,40 à 51 m²,8381,2
92700,219000,67.53,3125,3
92700,280000,58.0,4828,3
92700,150000,31.86,4708,2
92320,280000,41.0,6630,2
92600,299000,40.0,7257,2
92260,269000,46.0,5587,2
92700,189000,33.0,5455,2
92160,199000,35.0,5686,2
92350,255000,67.07,3802,4
92270,299000,43.0,6953,3
92360,165000,45.0,3667,2
92160,168000,27.0,6222,1
92290,260000,34.73,7486,1
92100,150000,12.0,12100,1
92360,249000,62.0,3839,3
92100,291000,33.0,8818,2
92160,259000,57.0,4544,3
92140,290000,60.73,4775,3
92600,265000,40.0,6625,2
92240,120000,20.0,6000,1
92100,80000,9.01,8879,1
92600,285000,35.0,8143,2
92130,299000,35.0,8543,2
92130,267800,31.0,8639,2
92100,154000,12.0,12100,1
92190,177500,27.0,6574,2
92260,249000,52.47,4541,3
92160,281000,49.83,5418,2
92270,189000,30.0,6300,1
92170,250000,25.0,1000,1
92190,95000,17.0,5588,1
92190,105000,15.0,7000,1
92190,116000,20.0,5800,1
92170,250000,29.0,8329,1
92360,252000,76.0,3158,4
92600,130000,2150 € de rente mensuelle,Rente : 2 150 €/mois,Âge du crédirentier : 72
92700,160000,20.01,7996,1
92340,95000,13.0,6692,1
92130,299000,24.0,12500,1
92330,298000,52.98,5625,3
92290,293000,41.0,7146,2
92600,249000,55.0,4527,3
92320,280000,42.0,6667,2
92260,249000,67.68,3517,3
92400,299000,49.95,5746,2
