,Code Postal,Prix (€),Surface (m2),Prix du m2,Nbr de Pieces
640,92200,127800,13.17,9704,1
641,92160,279000,62.79,4443,3
642,92290,179000,34.0,5265,1
643,92600,249000,34.0,7049,2
644,92140,250000,44.0,5409,2
645,92170,299000,43.12,6667,2
646,92200,175000,20.0,8750,1
647,92600,144500,19.48,7418,1
648,92330,174000,22.76,7645,1
649,92360,283000,82.0,3293,5
650,92120,200000,27.0,7222,1
651,92120,200000,27.0,7222,1
652,92170,180000,22.0,8182,1
653,92100,209000,24.42,8229,1
654,92170,177915,21.0,8472,1
655,92170,294915,54.0,5461,2
656,92300,85000,9.0,9444,1
657,92310,244505,42.0,5822,2
658,92600,200000,30.78,6498,2
659,92600,217000,29.17,7439,1
660,92330,121600,14.0,8686,1
661,92700,275000,51.26,5365,3
662,92390,170000,43.0,3953,2
663,92260,285990,67.0,4104,3
664,92340,239 000 à 277 000 €,24 à 31 m²,4104,1
665,92290,269000,33.15,8115,1
666,92260,289000,66.68,4079,4
667,92300,295000,34.0,8344,2
668,92360,161000,46.0,3500,2
669,92400,275000,37.0,7432,2
670,92130,177000,20.0,8500,1
671,92360,260000,78.0,3333,4
672,92700,142000,22.0,6136,1
673,92390,250000,60.0,4167,3
674,92700,175000,26.0,6731,1
675,92410,215000,27.0,7963,1
676,92600,220000,26.25,8381,2
677,92260,268000,40 à 51 m²,8381,2
678,92700,219000,67.53,3125,3
679,92700,280000,58.0,4828,3
680,92700,150000,31.86,4708,2
681,92320,280000,41.0,6630,2
682,92600,299000,40.0,7257,2
683,92260,269000,46.0,5587,2
684,92700,189000,33.0,5455,2
685,92160,199000,35.0,5686,2
686,92350,255000,67.07,3802,4
687,92270,299000,43.0,6953,3
688,92360,165000,45.0,3667,2
689,92160,168000,27.0,6222,1
690,92290,260000,34.73,7486,1
691,92100,150000,12.0,12100,1
692,92360,249000,62.0,3839,3
693,92100,291000,33.0,8818,2
694,92160,259000,57.0,4544,3
695,92140,290000,60.73,4775,3
696,92600,265000,40.0,6625,2
697,92240,120000,20.0,6000,1
698,92100,80000,9.01,8879,1
699,92600,285000,35.0,8143,2
700,92130,299000,35.0,8543,2
701,92130,267800,31.0,8639,2
702,92100,154000,12.0,12100,1
703,92190,177500,27.0,6574,2
704,92260,249000,52.47,4541,3
705,92160,281000,49.83,5418,2
706,92270,189000,30.0,6300,1
707,92170,250000,25.0,1000,1
708,92190,95000,17.0,5588,1
709,92190,105000,15.0,7000,1
710,92190,116000,20.0,5800,1
711,92170,250000,29.0,8329,1
712,92360,252000,76.0,3158,4
713,92600,130000,2150 € de rente mensuelle,Rente : 2 150 €/mois,Âge du crédirentier : 72
714,92700,160000,20.01,7996,1
715,92340,95000,13.0,6692,1
716,92130,299000,24.0,12500,1
717,92330,298000,52.98,5625,3
718,92290,293000,41.0,7146,2
719,92600,249000,55.0,4527,3
720,92320,280000,42.0,6667,2
721,92260,249000,67.68,3517,3
722,92400,299000,49.95,5746,2
723,92130,159400,17.24,8695,1
724,92100,180000,22.68,7496,1
725,92400,265000,36.0,7361,3
726,92150,265000,33.0,8030,1
727,92360,212000,56.0,3786,3
728,92360,73000,11.0,6636,1
729,92160,285000,71.4,3824,4
730,92360,200000,55.0,3636,3
731,92240,138000,23.0,6000,1
732,92110,283000,31.0,9129,2
