,Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
1669,Volkswagen Arteon,47099.0,01/01/2021,0.0,20475.0,Diesel,Boîte automatique,10.0,197.0
1670,Audi Q5,54699.0,23/12/2021,0.0,6129.0,Micro-hybride diesel,Boîte automatique 7 rapports,11.0,204.0
1671,DS DS9,52899.0,09/05/2022,0.0,114.0,,,13.0,225.0
1672,Audi Q5 SPORTBACK,58399.0,29/09/2022,1.0,0.0,,,9.0,163.0
1673,Kia Picanto,10499.0,23/02/2017,0.0,45355.0,Essence,Boîte manuelle 5 rapports,4.0,66.0
1674,Renault Grand Scénic 4,17999.0,22/01/2019,0.0,101677.0,Essence,Boîte manuelle 6 rapports,7.0,140.0
1675,Skoda FABIA COMBI,11299.0,18/05/2017,0.0,83402.0,,,5.0,90.0
1676,Dacia Lodgy,14999.0,26/07/2017,0.0,51126.0,Essence,Boîte manuelle 5 rapports,6.0,115.0
1677,Renault Espace 5,19999.0,10/05/2017,0.0,90221.0,,,8.0,160.0
1678,Suzuki Ignis,18599.0,17/06/2021,0.0,6141.0,Micro-hybride essence,Boîte automatique 5 rapports,4.0,83.0
1679,Smart FORFOUR,12499.0,08/12/2016,0.0,46593.0,Essence,Boîte automatique 6 rapports,4.0,71.0
1680,Kia Soul,17999.0,28/08/2018,0.0,52520.0,195 km,Électrique,,1.0
1681,DS DS4,37999.0,16/04/2022,0.0,70.0,Essence,Boîte automatique,7.0,130.0
1682,Peugeot 208,11499.0,25/04/2018,0.0,43405.0,Essence,Boîte manuelle 5 rapports,4.0,68.0
1683,Peugeot 3008,15299.0,26/06/2015,0.0,48748.0,Diesel,Boîte manuelle 6 rapports,6.0,120.0
1684,Peugeot 2008,11999.0,30/07/2013,0.0,84910.0,Diesel,Boîte manuelle 6 rapports,6.0,115.0
1685,Dacia Duster,25299.0,01/11/2022,1.0,0.0,Essence,Boîte manuelle 6 rapports,8.0,150.0
1686,Renault Clio 4,11499.0,15/06/2017,0.0,108139.0,Diesel,Boîte manuelle 5 rapports,4.0,90.0
1687,Peugeot 308,14999.0,30/06/2016,0.0,85200.0,Essence,Boîte manuelle 6 rapports,6.0,130.0
