Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
DS DS5,15699.0,15/04/2013,0,87094,Hybride diesel,Boîte automatique 6 rapports,8.0,163.0
Hyundai i30,19899.0,08/11/2021,0,25006,Essence,Boîte manuelle,,6.0
Peugeot RIFTER,22499.0,05/03/2019,0,59879,Diesel,Boîte manuelle 5 rapports,5.0,100.0
Hyundai Genesis,16499.0,23/12/2010,0,104420,,,21.0,303.0
Volkswagen Golf 8,23799.0,21/09/2020,0,24317,Essence,Boîte manuelle 6 rapports,7.0,130.0
Peugeot RCZ,15999.0,29/04/2014,0,88946,Essence,Boîte manuelle 6 rapports,11.0,200.0
Mazda Mazda 2,14999.0,02/03/2018,0,65026,Essence,Boîte manuelle 6 rapports,6.0,115.0
BMW Série 1 Berline,15799.0,07/01/2013,0,62954,Essence,Boîte manuelle 6 rapports,7.0,136.0
Honda CR-V,17299.0,01/03/2014,0,41515,Essence,Boîte manuelle 6 rapports,9.0,150.0
Kia Ceed,16899.0,13/03/2018,0,65791,,,,5.0
Peugeot 508 SW,24499.0,17/10/2019,0,56642,Diesel,Boîte automatique 8 rapports,6.0,130.0
Volkswagen PASSAT,17999.0,29/02/2016,0,46446,,,8.0,150.0
Seat Leon X-Perience,16499.0,30/09/2016,0,122802,,,10.0,184.0
Volkswagen Golf 7 SW,16199.0,06/07/2015,0,78989,,,5.0,110.0
Skoda Scala,18699.0,13/01/2022,0,18440,Essence,Boîte manuelle,,5.0
Citroën BERLINGO FOURGON VAN,17999.0,18/06/2020,0,68227,,,5.0,100.0
Volkswagen Touran,21099.0,14/10/2019,0,88098,Diesel,Boîte automatique,6.0,115.0
Hyundai i20 ACTIVE,16299.0,22/10/2020,0,23137,,,5.0,100.0
Audi A5 Cabriolet,16699.0,20/01/2011,0,135361,,,11.0,190.0
Hyundai BAYON,18799.0,08/09/2021,0,7574,Essence,Boîte manuelle,,4.0
Ford Fiesta nouvelle,17499.0,31/01/2019,0,12300,Essence,Boîte manuelle 6 rapports,5.0,100.0
MG MG ZS,25999.0,25/08/2021,0,11796,,,,
Opel Insignia Sports Tourer,17499.0,30/01/2018,0,78330,Diesel,Boîte automatique 8 rapports,10.0,170.0
Audi A4,19999.0,21/02/2018,0,129986,Diesel,Boîte manuelle 6 rapports,7.0,150.0
Lexus CT,19999.0,15/01/2016,0,64042,Hybride essence,Boîte automatique 1 rapport,5.0,99.0
Alfa Romeo Giulia,21499.0,30/03/2018,0,99973,Diesel,Boîte automatique 8 rapports,9.0,180.0
Jeep Compass Nouveau,34599.0,01/05/2022,1,0,Micro-hybride essence,Boîte automatique 7 rapports,7.0,130.0
Volvo V40,20999.0,23/12/2019,0,29085,Diesel,Boîte automatique 6 rapports,6.0,120.0
Mini HATCH 3 PORTES F56,17199.0,28/09/2017,0,53630,,,4.0,75.0
Volkswagen e-Golf,20499.0,04/01/2018,0,64135,,,,4.0
Citroën C4 SPACETOURER,21999.0,17/02/2020,0,50469,Diesel,Boîte manuelle 6 rapports,6.0,130.0
Renault Talisman Estate,21299.0,15/02/2019,0,26020,Diesel,Boîte manuelle 6 rapports,8.0,150.0
Volvo XC60,20999.0,08/03/2017,0,107627,Diesel,Boîte manuelle 6 rapports,8.0,150.0
Audi A3,21999.0,12/06/2017,0,54996,Diesel,Boîte automatique,6.0,116.0
Opel Crossland,19399.0,22/04/2021,0,30928,,,6.0,110.0
Jeep Compass,22499.0,22/01/2019,0,61202,Diesel,Boîte manuelle 6 rapports,6.0,120.0
Nissan Qashqai Nouveau,20999.0,10/05/2021,0,42223,Essence,Boîte manuelle 6 rapports,7.0,140.0
Audi Q5,21999.0,28/12/2016,0,127476,Diesel,Boîte manuelle,8.0,150.0
Toyota Auris Touring Sports,20999.0,04/01/2017,0,92361,,,5.0,98.0
Smart FORTWO COUPE EQ,19999.0,29/03/2021,0,3326,,,,1.0
Renault TWINGO ELECTRIC,19999.0,31/03/2021,0,11807,,,,2.0
